wavenumber,c1,c2,c3,c4,c5,c6
608,0.412162475,0.574407222,0.519084152,0.471300316,0.668056714,0.403726932
612,0.398181107,0.563332671,0.504900792,0.460056758,0.656066516,0.393502472
616,0.385389795,0.551506898,0.49014426,0.448428675,0.641600401,0.383302136
620,0.37347318,0.539015537,0.474862005,0.436432777,0.624912698,0.37305948
624,0.3621159,0.525944221,0.459101477,0.424085776,0.606257738,0.362708056
628,0.351002596,0.512378585,0.442910126,0.411404381,0.585889848,0.35218142
632,0.339359736,0.498332635,0.426266561,0.398449652,0.563392998,0.341171935
636,0.327440639,0.483954699,0.40909272,0.385206864,0.539801916,0.3299719
640,0.314994592,0.469394668,0.391545166,0.371232199,0.516435924,0.318527623
644,0.302260219,0.454748359,0.374758371,0.357084784,0.493722693,0.306771241
648,0.289885024,0.440409708,0.359486122,0.343141935,0.472252274,0.295450466
652,0.278147495,0.426426084,0.344934286,0.329741256,0.452517803,0.284776665
656,0.264380404,0.41279947,0.330912728,0.31805118,0.435361341,0.271621275
660,0.255114162,0.399379932,0.317278427,0.307143294,0.419138492,0.263132574
664,0.249040412,0.386096636,0.305318215,0.296603071,0.402201538,0.258051879
668,0.245237115,0.37300978,0.290825783,0.288196001,0.385029807,0.255530165
672,0.242712361,0.361396937,0.274228101,0.278347653,0.367522788,0.254685058
676,0.240581078,0.348663921,0.2563833,0.266732528,0.346155172,0.259356386
680,0.237880099,0.335197391,0.23770943,0.253370742,0.331208878,0.256809181
684,0.233749996,0.321551554,0.218926012,0.238753709,0.321077485,0.247571893
688,0.22741026,0.308230907,0.201178341,0.222993087,0.314446515,0.232109744
692,0.217848778,0.295058441,0.184540363,0.206796139,0.309852914,0.210721191
696,0.207050987,0.281847344,0.168866494,0.191000527,0.30558984,0.181873453
700,0.195037221,0.268796338,0.152669148,0.175853772,0.299790299,0.158977567
704,0.17961132,0.256531299,0.140695898,0.160142602,0.291422116,0.139743172
708,0.159240255,0.245054018,0.128497992,0.148106003,0.283403674,0.125167077
712,0.140029187,0.232893419,0.115032527,0.136059554,0.264527004,0.113793799
716,0.12227623,0.220020278,0.10507553,0.12234185,0.235358364,0.112000392
720,0.105769307,0.207322598,0.096968815,0.112294081,0.204281779,0.106825858
724,0.096483863,0.192947945,0.095059504,0.104822199,0.175457297,0.102416108
728,0.084018559,0.184771377,0.087888671,0.098582985,0.149472773,0.097085093
732,0.070760304,0.173852403,0.076204661,0.092714864,0.127077288,0.096088836
736,0.058942919,0.1604763,0.060782185,0.087719481,0.107902127,0.086738031
740,0.043061633,0.145869958,0.042804992,0.087523565,0.095049099,0.07501711
744,0.027035881,0.130975325,0.027504247,0.079798778,0.089260532,0.060346335
748,0.011031386,0.114790557,0.013393709,0.06946564,0.095822497,0.043514787
752,0.00111077,0.098887091,0.000637398,0.055581433,0.090417799,0.02511369
756,0.004424294,0.085210656,0.004852638,0.038298129,0.07853358,0.011788706
760,0.005319016,0.075438298,0.005368061,0.024315693,0.060573292,0.001659726
764,0,0.067475231,0,0.012085269,0.044851123,0.004282041
768,0,0.068918489,0,0.002134952,0.029127012,0.005543935
772,0,0.068248439,0,0.004332275,0.014687857,0
776,0,0.067319122,0,0.005245028,0.002269254,0
780,0,0.069598342,0,0,0.004860467,0
784,0,0.065874463,0,0,0.006152464,0
788,0,0.057164467,0,0,0,0
792,0,0.046042513,0,0,0,0
796,0,0.032627661,0,0,0,0
800,0,0.020456866,0,0,0,0
804,0,0.00844746,0,0,0,0
808,0,0.000864649,0,0,0,0
812,0,0.003379695,0,0,0,0
816,0,0.00403129,0,0,0,0
820,0,0,0,0,0,0
824,0,0,0,0,0,0
828,0,0,0,0,0,0
832,0,0,0,0,0,0
836,0,0,0,0,0,0
840,0,0,0,0,0,0
844,0,0,0,0,0,0
848,0,0,0,0,0,0
852,0,0,0,0,0,0
856,0,0,0,0,0,0
860,0,0,0,0,0,0
864,0,0,0,0,0,0
868,0,0,0,0,0,0
872,0,0,0,0,0,0
876,0,0,0,0,0,0
880,0,0,0,0,0,0
884,0,0,0,0,0,0
888,0,0,0,0,0,0
892,0,0,0,0,0,0
896,0,0,0,0,0,0
900,0,0,0,0,0,0
904,0,0,0,0,0,0
908,0,0,0,0,0,0
912,0,0,0.005459433,0,0,0
916,0,0,0.00604469,0,0,0
920,0.006098711,0,0.000161304,0,0.00637226,0
924,0.006798781,0,0.009211527,0.005919847,0.006721509,0.005521616
928,0.000871902,0,0.020521807,0.006448764,0.000340653,0.006318095
932,0.00651253,0.005458108,0.042868384,0.000190796,0.010244639,0.000682987
936,0.025178501,0.0056892,0.076199264,0.009883815,0.028234381,0.008786785
940,0.055465752,0.000608122,0.119134023,0.022428282,0.050620432,0.02096799
944,0.09650733,0.006052511,0.169245002,0.047373087,0.085730167,0.045719445
948,0.146304096,0.022399462,0.222613843,0.084019466,0.131749703,0.082398946
952,0.201970925,0.049757936,0.274739809,0.130865708,0.185715576,0.12939962
956,0.258748357,0.084050205,0.332626822,0.184416017,0.24319355,0.183424375
960,0.311717275,0.124814942,0.39041498,0.24112927,0.299343328,0.240951236
964,0.368141771,0.169073391,0.44062414,0.29409671,0.362420894,0.295369847
968,0.420048219,0.213505422,0.483897962,0.350603903,0.424145696,0.352952566
