wavenumber,c1,c2,c3,c4,c5,c6
608,0.450224015,0.403726932,0.46889486,0.494348214,0.495315966,0.434710951
612,0.435153165,0.393502472,0.460057908,0.483898462,0.479140617,0.422760162
616,0.420998214,0.383302136,0.44957542,0.472778333,0.463373488,0.410332706
620,0.407444766,0.37305948,0.437673602,0.461050752,0.447902433,0.397467305
624,0.394178428,0.362708056,0.424578658,0.448778642,0.432615307,0.384202684
628,0.380884806,0.35218142,0.410516794,0.43602493,0.417399966,0.370577566
632,0.366242889,0.341171935,0.395575057,0.422806186,0.401992677,0.356354683
636,0.351154625,0.3299719,0.380149877,0.409189091,0.386402782,0.341941396
640,0.336269041,0.318527623,0.36449324,0.395069204,0.370212185,0.327560351
644,0.321505023,0.306771241,0.348960543,0.381054365,0.354196834,0.313331437
648,0.306861179,0.295450466,0.334476384,0.367729727,0.339052881,0.299558717
652,0.292977567,0.284776665,0.320814856,0.354951002,0.324368279,0.286571097
656,0.282015138,0.271621275,0.308549276,0.343286927,0.310529526,0.271603646
660,0.269987787,0.263132574,0.296920411,0.332357908,0.299397777,0.260925542
664,0.257494363,0.258051879,0.28203912,0.320127689,0.286929186,0.253506742
668,0.243895786,0.255530165,0.27114738,0.313124827,0.273222047,0.248378835
672,0.228876976,0.254685058,0.263338757,0.305135357,0.258433062,0.244531398
676,0.213524191,0.259356386,0.257526844,0.295919924,0.242742803,0.241093591
680,0.198211906,0.256809181,0.252527471,0.285187426,0.226371229,0.237078143
684,0.183394932,0.247571893,0.248023586,0.273324524,0.209997302,0.231738719
688,0.169706407,0.232109744,0.243364813,0.260490676,0.193855716,0.224182561
692,0.157610922,0.210721191,0.237289268,0.246830433,0.178300366,0.213455477
696,0.145747794,0.181873453,0.22891664,0.232621768,0.161948439,0.201570716
700,0.134173478,0.158977567,0.220161634,0.218043902,0.149987548,0.188756023
704,0.124418276,0.139743172,0.203013183,0.201058344,0.138271917,0.172967561
708,0.113347973,0.125167077,0.185854719,0.191814466,0.125418043,0.152720644
712,0.105328615,0.113793799,0.16401705,0.182259673,0.116389705,0.133892006
716,0.098710544,0.112000392,0.143845742,0.176944393,0.109876295,0.116568107
