wavenumber,intensity
399.6747,0.114826975
400.1569,0.114826975
400.639,0.114826975
401.1211,0.114826975
401.6032,0.114826975
402.0853,0.114826975
402.5674,0.114826975
403.0496,0.114826975
403.5317,0.114826975
404.0138,0.114826975
404.4959,0.114826975
404.978,0.114826975
405.4601,0.114826975
405.9423,0.114826975
406.4244,0.114826975
406.9065,0.114826975
407.3886,0.114826975
407.8707,0.114826975
408.3528,0.114826975
408.835,0.114826975
409.3171,0.114826975
409.7992,0.114826975
410.2813,0.114826975
410.7634,0.114826975
411.2455,0.114826975
411.7277,0.114826975
412.2098,0.114826975
412.6919,0.114826975
413.174,0.114826975
413.6561,0.114826975
414.1382,0.114826975
414.6204,0.114826975
415.1025,0.114826975
415.5846,0.114826975
416.0667,0.114826975
416.5488,0.114826975
417.0309,0.114850319
417.5131,0.114891956
417.9952,0.114947035
418.4773,0.115010922
418.9594,0.115079196
419.4415,0.115147651
419.9236,0.11521229
420.4058,0.115269335
420.8879,0.115315213
421.37,0.115346565
421.8521,0.11536025
422.3342,0.115353339
422.8163,0.115323116
423.2985,0.115267085
423.7806,0.115182953
424.2627,0.115068648
424.7448,0.114922312
425.2269,0.114742301
425.709,0.114527186
426.1912,0.11427576
426.6733,0.113987018
427.1554,0.113660178
427.6375,0.113294673
428.1196,0.112890151
428.6017,0.112446477
429.0839,0.111963737
429.566,0.111442221
430.0481,0.110882444
430.5302,0.110285135
431.0123,0.109651241
431.4944,0.108981927
431.9766,0.108278576
432.4587,0.107542783
432.9408,0.106776362
433.4229,0.105981346
433.905,0.105159986
434.3871,0.10431475
434.8693,0.10344833
435.3514,0.102563626
435.8335,0.101663759
436.3156,0.100342174
436.7977,0.099080889
437.2798,0.097884448
437.762,0.096757407
438.2441,0.095704327
438.7262,0.094814106
439.2083,0.0939883
439.6904,0.093232373
440.1725,0.092551798
440.6547,0.091991634
441.1368,0.091469271
441.6189,0.090985001
442.101,0.09053891
442.5831,0.090130884
443.0652,0.089760609
443.5474,0.089481745
444.0295,0.08922852
444.5116,0.089000333
444.9937,0.088796393
445.4758,0.088615722
445.9579,0.088457159
446.4401,0.088319359
446.9222,0.088200785
447.4043,0.088099731
447.8864,0.088122913
448.3685,0.087889171
448.8506,0.087696524
449.3328,0.087541544
449.8149,0.087420602
450.297,0.08732989
450.7791,0.087265407
451.2612,0.087222961
451.7433,0.087198172
452.2255,0.087186472
452.7076,0.087262411
453.1897,0.087324918
453.6718,0.087369508
454.1539,0.087391517
454.636,0.087386099
455.1182,0.087348233
455.6003,0.087272711
456.0824,0.08715416
456.5645,0.086987028
457.0466,0.086765585
457.5287,0.086483929
458.0109,0.086135985
458.493,0.085715496
458.9751,0.085216045
459.4572,0.08463104
459.9393,0.084456515
460.4214,0.084304637
460.9036,0.084176834
461.3857,0.084157641
461.8678,0.08414798
462.3499,0.084046463
462.832,0.083939147
463.3141,0.0838274
463.7963,0.083712604
464.2784,0.083512476
464.7605,0.083295424
465.2426,0.083062122
465.7247,0.082813252
466.2068,0.082549501
466.689,0.082271567
467.1711,0.081913701
467.6532,0.081529189
468.1353,0.081118044
468.6174,0.080680276
469.0995,0.080215899
469.5817,0.079724926
470.0638,0.079207365
470.5459,0.07866323
471.028,0.078092533
471.5101,0.07736206
471.9922,0.076882245
472.4744,0.076409066
472.9565,0.075944098
473.4386,0.075579076
473.9207,0.075205535
474.4028,0.074825989
474.8849,0.074442958
475.3671,0.074058971
475.8492,0.073676557
476.3313,0.073200969
476.8134,0.072712817
477.2955,0.072213823
477.7776,0.071705709
478.2598,0.071190206
478.7419,0.070669037
479.224,0.070143936
479.7061,0.069616637
480.1882,0.069088876
480.6703,0.068562393
481.1525,0.067746529
481.6346,0.06699852
482.1167,0.066317515
482.5988,0.06570266
483.0809,0.065153099
483.563,0.064667971
484.0452,0.06424641
484.5273,0.063887546
485.0094,0.063488562
485.4915,0.063130102
485.9736,0.062810368
486.4557,0.062527557
486.9379,0.062279851
487.42,0.062065427
487.9021,0.061882457
488.3842,0.061729102
488.8663,0.061603517
489.3484,0.061503851
489.8306,0.06142824
490.3127,0.061374814
490.7948,0.061341697
491.2769,0.061327007
491.759,0.061436351
492.2411,0.061537247
492.7233,0.061628717
493.2054,0.061709779
493.6875,0.061779453
494.1696,0.061836751
494.6517,0.061880682
495.1339,0.061910254
495.616,0.061924464
496.0981,0.061922304
496.5802,0.061902769
497.0623,0.061754274
497.5444,0.061565509
498.0266,0.061334698
498.5087,0.061060058
498.9908,0.060739805
499.4729,0.060372161
499.955,0.059955341
500.4371,0.059487564
500.9193,0.058967046
501.4014,0.058391998
501.8835,0.057760632
502.3656,0.057266224
502.8477,0.056669529
503.3298,0.055970557
503.812,0.055169321
504.2941,0.054265828
504.7762,0.053618758
505.2583,0.052939006
505.7404,0.052229391
506.2225,0.051492736
506.7047,0.050731871
507.1868,0.049949619
507.6689,0.049148813
508.151,0.04833229
508.6331,0.047502887
509.1152,0.046663445
509.5974,0.045816811
510.0795,0.044965825
510.5616,0.044113339
511.0437,0.043262204
511.5258,0.042415275
512.0079,0.041575409
512.4901,0.04074547
512.9722,0.039928313
513.4543,0.039126805
513.9364,0.038343812
514.4185,0.037582206
514.9006,0.036844858
515.3828,0.036002781
515.8649,0.035165004
516.347,0.034268221
516.8291,0.033393778
517.3112,0.032542837
517.7933,0.031716567
518.2755,0.03091614
518.7576,0.030142719
519.2397,0.02939748
519.7218,0.028551417
520.2039,0.027764045
520.686,0.027035375
521.1682,0.02636542
521.6503,0.025754183
522.1324,0.025201677
522.6145,0.024707913
523.0966,0.0242729
523.5787,0.02389665
524.0609,0.023579176
524.543,0.02332048
525.0251,0.022996808
525.5072,0.022758651
525.9893,0.022365646
526.4714,0.022009946
526.9536,0.021688655
527.4357,0.021398865
527.9178,0.021137677
528.3999,0.020902187
528.882,0.020689492
529.3641,0.020452813
529.8463,0.020242738
530.3284,0.020055928
530.8105,0.01988905
531.2926,0.020118287
531.7747,0.020261025
532.2568,0.02032115
532.739,0.020302402
533.2211,0.020208362
533.7032,0.020042468
534.1853,0.019808003
534.6674,0.019508098
535.1495,0.019145732
535.6317,0.01872373
536.1138,0.01824476
536.5959,0.017711343
537.078,0.017125842
537.5601,0.016490467
538.0422,0.015807273
538.5244,0.015078158
539.0065,0.014304861
539.4886,0.013488972
539.9707,0.012711812
540.4528,0.011909835
540.9349,0.011084706
541.4171,0.010237928
541.8992,0.009370841
542.3813,0.008484632
542.8634,0.007580324
543.3455,0.006818466
543.8276,0.006070958
544.3098,0.005339573
544.7919,0.004625918
545.274,0.003931446
545.7561,0.003257444
546.2382,0.002605035
546.7203,0.001975182
547.2025,0.001368681
547.6846,0.000786163
548.1667,0.000228101
548.6488,0.000153382
549.1309,0.000480532
549.613,0.000752187
550.0952,0.000967345
550.5773,0.001125177
551.0594,0.001225008
551.5415,0.001266333
552.0236,0.001248813
552.5057,0.001172273
552.9879,0.000982892
553.47,0.000724401
553.9521,0.000396735
554.4342,0
554.9163,0
555.3984,0
555.8806,0
556.3627,0
556.8448,0
557.3269,0
557.809,0
558.2911,0
558.7733,0
559.2554,0
559.7375,0
560.2196,0
560.7017,0
561.1838,0
561.666,0
562.1481,0
562.6302,0
563.1123,0
563.5944,0
564.0765,0
564.5587,0
565.0408,0
565.5229,0
566.005,0
566.4871,0
566.9692,0
567.4514,0
567.9335,0
568.4156,0
568.8977,0
569.3798,0
569.8619,0
570.3441,0
