wavenumber,intensity
600.2353,0.1982742
600.7174,0.1979887
601.1995,0.1977279
601.6816,0.1975062
602.1638,0.1973108
602.6459,0.1971173
603.128,0.1969127
603.6101,0.1967083
604.0922,0.1965378
604.5743,0.1964357
605.0565,0.1964145
605.5386,0.1964494
606.0207,0.1964868
606.5028,0.1964634
606.9849,0.1963362
607.467,0.1961036
607.9492,0.1958031
608.4313,0.1954925
608.9134,0.1952173
609.3955,0.1949953
609.8776,0.1948098
610.3597,0.1946274
610.8419,0.1944194
611.324,0.1941816
611.8061,0.1939359
612.2882,0.1937169
612.7703,0.1935481
613.2524,0.1934273
613.7346,0.1933247
614.2167,0.1931997
614.6988,0.1930212
615.1809,0.1927839
615.663,0.1925104
616.1451,0.1922382
616.6273,0.1919992
617.1094,0.1918015
617.5915,0.1916268
618.0736,0.191441
618.5557,0.1912155
619.0378,0.1909393
619.52,0.1906236
620.0021,0.1902891
620.4842,0.189953
620.9663,0.1896169
621.4484,0.1892698
621.9305,0.1888991
622.4127,0.1885056
622.8948,0.1881095
623.3769,0.1877464
623.859,0.1874476
624.3411,0.1872246
624.8232,0.1870594
625.3054,0.1869131
625.7875,0.1867425
626.2696,0.1865224
626.7517,0.1862579
627.2338,0.1859781
627.7159,0.1857177
628.1981,0.1854941
628.6802,0.1852974
629.1623,0.1850937
629.6444,0.1848454
630.1265,0.1845293
630.6086,0.1841514
631.0908,0.183742
631.5729,0.1833403
632.055,0.1829701
632.5371,0.1826278
633.0192,0.1822841
633.5013,0.1819028
633.9835,0.1814613
634.4656,0.1809664
634.9477,0.1804518
635.4298,0.1799648
635.9119,0.1795432
636.394,0.179198
636.8762,0.1789133
637.3583,0.1786575
637.8404,0.1784046
638.3225,0.1781442
638.8046,0.1778844
639.2867,0.1776395
639.7689,0.1774161
640.251,0.1772022
640.7331,0.1769711
641.2152,0.1766929
641.6973,0.1763535
642.1794,0.1759628
642.6616,0.1755525
643.1437,0.1751586
643.6258,0.1748051
644.1079,0.1744917
644.59,0.1741964
645.0721,0.1738882
645.5543,0.173546
646.0364,0.1731705
646.5185,0.172783
647.0006,0.1724123
647.4827,0.1720768
647.9648,0.1717749
648.447,0.1714848
648.9291,0.1711799
649.4112,0.1708423
649.8933,0.1704767
650.3754,0.1701065
650.8575,0.169763
651.3397,0.1694661
651.8218,0.1692159
652.3039,0.1689931
652.786,0.1687739
653.2681,0.1685442
653.7502,0.1683092
654.2324,0.1680897
654.7145,0.1679085
655.1966,0.1677739
655.6787,0.1676707
656.1608,0.1675639
656.6429,0.1674154
657.1251,0.1672043
657.6072,0.1669363
658.0893,0.1666417
658.5714,0.1663579
659.0535,0.1661131
659.5356,0.1659105
660.0178,0.1657302
660.4999,0.1655407
660.982,0.165319
661.4641,0.1650616
661.9462,0.1647845
662.4283,0.1645108
662.9105,0.1642565
663.3926,0.1640207
663.8747,0.1637878
664.3568,0.1635382
664.8389,0.1632617
665.321,0.162962
665.8032,0.1626578
666.2853,0.1623725
666.7674,0.1621209
667.2495,0.1619009
667.7316,0.1616894
668.2137,0.161469
668.6959,0.1612356
669.178,0.1609882
669.6601,0.1607182
670.1422,0.1604317
670.6243,0.1601452
671.1064,0.1598682
671.5886,0.159595
672.0707,0.1593092
672.5528,0.1589969
673.0349,0.1586574
673.517,0.1583045
673.9991,0.1579605
674.4813,0.1576419
674.9634,0.1573492
675.4455,0.1570664
675.9276,0.1567698
676.4097,0.1564432
676.8918,0.1560865
677.374,0.1557179
677.8561,0.1553637
678.3382,0.1550462
678.8203,0.1547727
679.3024,0.1545342
679.7845,0.1543127
680.2667,0.154093
680.7488,0.1538706
681.2309,0.1536527
681.713,0.1534512
682.1951,0.1532733
682.6772,0.1531147
683.1594,0.1529623
683.6415,0.1528008
684.1236,0.1526235
684.6057,0.1524368
685.0878,0.1522581
685.5699,0.1521043
686.0521,0.1519807
686.5342,0.151875
687.0163,0.1517615
687.4984,0.151613
687.9805,0.1514124
688.4626,0.1511631
688.9448,0.1508856
689.4269,0.1506082
689.909,0.1503507
690.3911,0.1501167
690.8732,0.1498942
691.3553,0.1496655
691.8375,0.1494184
692.3196,0.1491548
692.8017,0.1488886
693.2838,0.1486386
693.7659,0.1484164
694.248,0.14822
694.7302,0.1480356
695.2123,0.1478459
695.6944,0.1476415
696.1765,0.1474258
696.6586,0.147213
697.1407,0.1470178
697.6229,0.1468453
698.105,0.1466848
698.5871,0.1465141
699.0692,0.1463086
699.5513,0.1460561
700.0334,0.1457628
700.5156,0.1454521
700.9977,0.1451513
701.4798,0.1448812
701.9619,0.1446462
702.444,0.144435
702.9261,0.1442287
703.4083,0.1440125
703.8904,0.1437836
704.3725,0.1435513
704.8546,0.1433295
705.3367,0.1431265
705.8188,0.142939
706.301,0.1427537
706.7831,0.1425554
707.2652,0.142336
707.7473,0.1421007
708.2294,0.1418651
708.7115,0.1416461
709.1937,0.1414503
709.6758,0.1412685
710.1579,0.1410775
710.64,0.1408526
711.1221,0.1405785
711.6042,0.1402586
712.0864,0.1399131
712.5685,0.1395716
713.0506,0.1392585
713.5327,0.1389831
714.0148,0.1387382
714.4969,0.138506
714.9791,0.1382689
715.4612,0.1380164
715.9433,0.1377485
716.4254,0.1374707
716.9075,0.1371871
717.3896,0.1368948
717.8718,0.1365845
718.3539,0.1362467
718.836,0.1358798
719.3181,0.1354948
719.8002,0.1351131
720.2823,0.1347565
720.7645,0.1344373
721.2466,0.1341506
721.7287,0.133878
722.2108,0.1335944
722.6929,0.1332803
723.175,0.1329293
723.6572,0.1325474
724.1393,0.1321485
724.6214,0.1317453
725.1035,0.1313454
725.5856,0.1309502
726.0677,0.1305588
726.5499,0.1301735
727.032,0.1298015
727.5141,0.1294527
727.9962,0.1291336
728.4783,0.1288415
728.9604,0.1285633
729.4426,0.1282797
729.9247,0.1279754
730.4068,0.1276462
730.8889,0.1273024
731.371,0.1269633
731.8531,0.126649
732.3353,0.12637
732.8174,0.1261221
733.2995,0.1258894
733.7816,0.1256538
734.2637,0.1254049
734.7458,0.1251444
735.228,0.1248851
735.7101,0.1246419
736.1922,0.1244235
736.6743,0.1242259
737.1564,0.1240349
737.6385,0.1238329
738.1207,0.1236101
738.6028,0.1233694
739.0849,0.1231256
739.567,0.1228964
740.0491,0.1226948
740.5313,0.1225215
741.0134,0.1223656
741.4955,0.1222108
741.9776,0.1220444
742.4597,0.121864
742.9418,0.1216772
743.424,0.1214963
743.9061,0.1213298
744.3882,0.1211782
744.8703,0.1210342
745.3524,0.1208882
745.8345,0.1207355
746.3167,0.1205807
746.7988,0.1204361
747.2809,0.1203154
747.763,0.1202246
748.2451,0.1201584
748.7272,0.1201002
749.2094,0.1200309
749.6915,0.1199362
750.1736,0.1198137
750.6557,0.1196725
751.1378,0.1195281
751.6199,0.1193937
752.1021,0.1192737
752.5842,0.119164
753.0663,0.1190562
753.5484,0.1189443
754.0305,0.1188291
754.5126,0.1187178
754.9948,0.1186189
755.4769,0.1185366
755.959,0.118466
756.4411,0.1183956
756.9232,0.1183123
757.4053,0.1182098
757.8875,0.1180912
758.3696,0.1179688
758.8517,0.1178553
759.3338,0.117758
759.8159,0.117673
760.298,0.1175871
760.7802,0.1174869
761.2623,0.1173645
761.7444,0.1172234
762.2265,0.117077
762.7086,0.1169418
763.1907,0.1168279
763.6729,0.1167338
764.155,0.1166464
764.6371,0.1165474
765.1192,0.116422
765.6013,0.116267
766.0834,0.116092
766.5656,0.1159149
767.0477,0.1157527
767.5298,0.1156149
768.0119,0.1155007
768.494,0.1154016
768.9761,0.1153063
769.4583,0.1152071
769.9404,0.1151017
770.4225,0.1149918
770.9046,0.1148781
771.3867,0.1147583
771.8688,0.1146261
772.351,0.1144753
772.8331,0.1143045
773.3152,0.1141195
773.7973,0.1139321
774.2794,0.1137547
774.7615,0.1135951
775.2437,0.1134517
775.7258,0.1133151
776.2079,0.1131726
776.69,0.1130155
777.1721,0.1128429
777.6542,0.112663
778.1364,0.1124863
778.6185,0.112321
779.1006,0.1121674
779.5827,0.1120178
780.0648,0.1118606
780.5469,0.1116874
781.0291,0.1114981
781.5112,0.1113017
781.9933,0.1111125
782.4754,0.1109431
782.9575,0.1107998
783.4396,0.1106796
783.9218,0.110572
784.4039,0.1104632
784.886,0.1103416
785.3681,0.1101991
785.8502,0.1100311
786.3323,0.1098354
786.8145,0.1096102
787.2966,0.1093563
787.7787,0.1090782
788.2608,0.1087877
788.7429,0.1085026
789.225,0.1082415
789.7072,0.1080192
790.1893,0.1078397
790.6714,0.1076952
791.1535,0.1075683
791.6356,0.1074408
792.1177,0.1073012
792.5999,0.1071487
793.082,0.1069928
793.5641,0.1068473
794.0462,0.1067229
794.5283,0.1066213
795.0104,0.106535
795.4926,0.1064516
795.9747,0.1063616
796.4568,0.1062625
796.9389,0.1061611
797.421,0.106068
797.9031,0.1059932
798.3853,0.1059395
798.8674,0.1059021
799.3495,0.105871
799.8316,0.1058368
800.3137,0.1057953
800.7958,0.1057484
801.278,0.1057011
801.7601,0.1056562
802.2422,0.1056108
802.7243,0.1055558
803.2064,0.1054797
803.6885,0.1053735
804.1707,0.1052363
804.6528,0.1050753
805.1349,0.1049033
805.617,0.1047321
806.0991,0.1045696
806.5812,0.1044174
807.0634,0.1042732
807.5455,0.1041348
808.0276,0.1040031
808.5097,0.1038823
808.9918,0.1037769
809.4739,0.1036876
809.9561,0.103609
810.4382,0.1035286
810.9203,0.1034322
811.4024,0.1033083
811.8845,0.1031519
812.3666,0.1029658
812.8488,0.1027578
813.3309,0.1025366
813.813,0.1023072
814.2951,0.1020703
814.7772,0.1018238
815.2593,0.1015665
815.7415,0.1013001
816.2236,0.1010306
816.7057,0.1007652
817.1878,0.1005103
817.6699,0.1002686
818.152,0.100039
818.6342,0.09981731
819.1163,0.09959918
819.5984,0.09938131
820.0805,0.09916107
820.5626,0.09893535
821.0447,0.09869956
821.5269,0.09844723
822.009,0.09817297
822.4911,0.09787527
822.9732,0.09755926
823.4553,0.09723575
823.9374,0.09691882
824.4196,0.09662068
824.9017,0.0963466
825.3838,0.09609404
825.8659,0.0958543
826.348,0.09561753
826.8301,0.0953766
827.3123,0.09513066
827.7944,0.09488422
828.2765,0.09464455
828.7586,0.0944175
829.2407,0.09420513
829.7228,0.09400602
830.205,0.09381726
830.6871,0.09363715
831.1692,0.09346626
831.6513,0.09330656
832.1334,0.09315892
832.6155,0.09302042
833.0977,0.09288404
