Wavenumber,Intensity
802.2422,0.07939058
809.9561,0.07693619
817.6699,0.06177001
825.3838,0.04071215
833.0977,0.02655119
840.8115,0.01419336
848.5254,0.002944503
856.2393,0.0
863.9531,0.005262185
871.667,0.01616703
879.3809,0.02529327
887.0947,0.03890238
894.8086,0.06115292
902.5225,0.06795035
910.2363,0.06868408
917.9502,0.07612563
925.6641,0.08553607
933.3779,0.1105375
941.0918,0.1577332
948.8057,0.2168072
956.5195,0.2719094
964.2334,0.3267968
971.9473,0.3853698
979.6611,0.4344312
987.375,0.4686364
995.0889,0.5144674
1002.803,0.5818224
1010.517,0.6545294
1018.23,0.6979743
1025.944,0.7405871
1033.658,0.7144399
1041.372,0.7319206
1049.086,0.6447005
1056.8,0.569423
1064.514,0.550525
1072.228,0.5404148
1079.941,0.5005204
1087.655,0.4388514
1095.369,0.3766652
1103.083,0.3150227
1110.797,0.2688586
1118.511,0.2385796
1126.225,0.2225728
1133.938,0.2127912
1141.652,0.2170771
1149.366,0.2066326
1157.08,0.1586364
1164.794,0.09789991
1172.508,0.03852051
1180.222,0.005221535
1187.936,0.0
1195.649,0.02589789
1203.363,0.0716967
1211.077,0.1133887
1218.791,0.1491406
1226.505,0.1849058
1234.219,0.2157496
1241.933,0.236487
1249.646,0.2464602
1257.36,0.2484402
1265.074,0.2442563
1272.788,0.2360527
1280.502,0.2339392
1288.216,0.2403473
1295.93,0.2492292
1303.644,0.2647952
1311.357,0.2860796
1319.071,0.3150451
1326.785,0.3597059
1334.499,0.4058261
1342.213,0.4091293
1349.927,0.401971
1357.641,0.4153832
1365.354,0.4361776
1373.068,0.4356176
1380.782,0.4395995
1388.496,0.4415413
1396.21,0.4437894
1403.924,0.473184
1411.638,0.4888369
1419.352,0.4887855
1427.065,0.4691765
1434.779,0.4392303
1442.493,0.3901346
1450.207,0.3361681
1457.921,0.2868903
1465.635,0.2324457
1473.349,0.1641281
1481.063,0.1323572
1488.776,0.113801
1496.49,0.1545276
1504.204,0.1815023
1511.918,0.2300373
1519.632,0.2627466
1527.346,0.3227424
1535.06,0.3825836
1542.773,0.4646812
1550.487,0.5462149
1558.201,0.6491488
1565.915,0.7308791
1573.629,0.850522
1581.343,0.9425165
1589.057,0.9907661
1596.771,1.0
1604.484,0.9654888
1612.198,0.9108157
1619.912,0.8559356
1627.626,0.790834
1635.34,0.7269249
1643.054,0.6680203
1650.768,0.6142814
1658.481,0.5389895
1666.195,0.4583103
1673.909,0.3910853
1681.623,0.304117
1689.337,0.2652911
1697.051,0.2390895
1704.765,0.2171448
1712.479,0.2166516
1720.192,0.2365545
1727.906,0.2146295
1735.62,0.2140838
1743.334,0.1569088
1751.048,0.1264404
1758.762,0.09176115
1766.476,0.06853441
1774.189,0.04804087
1781.903,0.03032647
1789.617,0.01408655
1797.331,3.100619e-08
