"wavenumber","intensity","File"
802.2422,0.2222036,"./Lazar_omnic_1.CSV_breakoff.csv"
809.9561,0.2094309,"./Lazar_omnic_1.CSV_breakoff.csv"
817.6699,0.1940905,"./Lazar_omnic_1.CSV_breakoff.csv"
825.3838,0.1760916,"./Lazar_omnic_1.CSV_breakoff.csv"
833.0977,0.1533157,"./Lazar_omnic_1.CSV_breakoff.csv"
840.8115,0.1307264,"./Lazar_omnic_1.CSV_breakoff.csv"
848.5254,0.1137786,"./Lazar_omnic_1.CSV_breakoff.csv"
856.2393,0.09830094,"./Lazar_omnic_1.CSV_breakoff.csv"
863.9531,0.0884754,"./Lazar_omnic_1.CSV_breakoff.csv"
871.667,0.08682517,"./Lazar_omnic_1.CSV_breakoff.csv"
879.3809,0.08433141,"./Lazar_omnic_1.CSV_breakoff.csv"
887.0947,0.09039294,"./Lazar_omnic_1.CSV_breakoff.csv"
894.8086,0.09699738,"./Lazar_omnic_1.CSV_breakoff.csv"
902.5225,0.09532894,"./Lazar_omnic_1.CSV_breakoff.csv"
910.2363,0.08731712,"./Lazar_omnic_1.CSV_breakoff.csv"
917.9502,0.08791125,"./Lazar_omnic_1.CSV_breakoff.csv"
925.6641,0.08717916,"./Lazar_omnic_1.CSV_breakoff.csv"
933.3779,0.09251841,"./Lazar_omnic_1.CSV_breakoff.csv"
941.0918,0.1081049,"./Lazar_omnic_1.CSV_breakoff.csv"
948.8057,0.1379997,"./Lazar_omnic_1.CSV_breakoff.csv"
956.5195,0.176979,"./Lazar_omnic_1.CSV_breakoff.csv"
964.2334,0.2329307,"./Lazar_omnic_1.CSV_breakoff.csv"
971.9473,0.2890544,"./Lazar_omnic_1.CSV_breakoff.csv"
979.6611,0.3508322,"./Lazar_omnic_1.CSV_breakoff.csv"
987.375,0.4039357,"./Lazar_omnic_1.CSV_breakoff.csv"
995.0889,0.457676,"./Lazar_omnic_1.CSV_breakoff.csv"
1002.803,0.5039623,"./Lazar_omnic_1.CSV_breakoff.csv"
1010.517,0.5699934,"./Lazar_omnic_1.CSV_breakoff.csv"
1018.23,0.6200871,"./Lazar_omnic_1.CSV_breakoff.csv"
1025.944,0.7087253,"./Lazar_omnic_1.CSV_breakoff.csv"
1033.658,0.6514338,"./Lazar_omnic_1.CSV_breakoff.csv"
1041.372,0.7068696,"./Lazar_omnic_1.CSV_breakoff.csv"
1049.086,0.6034897,"./Lazar_omnic_1.CSV_breakoff.csv"
1056.8,0.5064592,"./Lazar_omnic_1.CSV_breakoff.csv"
