Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Std_13,Std_14,Std_15,Std_16,Std_17,Std_18,Std_19,Std_20,Std_21,Std_22,Std_23,Std_24,Std_25,Std_26,Std_27,Std_28,Std_29,Std_30
0.2222036,0.1173242,0.08740643,0.1158383,0.07939058,0.1583115,0.1098155,0.09015794,0.08102609,0.1008322,0.08857139,0.1395715,0.1215601,0.1538168,0.106246,0.111518,0.1169384,0.08613685,0.0836762,0.1348874,0.09853588,0.1457292,0.09373306,0.1143037,0.1099292,0.1277884,0.09639702,0.08328,0.07783031,0.09188773
0.2094309,0.1058491,0.08145471,0.1095676,0.07693619,0.1437574,0.1022048,0.08124747,0.08171403,0.09720366,0.0843687,0.1259423,0.1101368,0.1384467,0.1011214,0.09967756,0.106696,0.0775489,0.08008423,0.1195195,0.08621813,0.1352194,0.08739271,0.1122154,0.09974801,0.1178688,0.0961107,0.07846661,0.072124,0.08552259
0.1940905,0.08960489,0.06578331,0.1002053,0.06177001,0.123215,0.08578011,0.06606267,0.06735115,0.08158112,0.07038937,0.1086441,0.09478509,0.1188323,0.08991239,0.08331064,0.09618482,0.0640858,0.06763653,0.1036533,0.07422826,0.1156672,0.07838331,0.09689605,0.08620606,0.1019998,0.08345638,0.070902,0.06344907,0.07722045
0.1760916,0.07612703,0.04956011,0.08931394,0.04071215,0.10181,0.06987655,0.05316943,0.05033981,0.06287007,0.05376427,0.08736352,0.0799547,0.09725066,0.07741094,0.0662564,0.08229477,0.05042755,0.05072848,0.08563127,0.05908592,0.09356024,0.06768452,0.07679075,0.07131097,0.08674715,0.06702124,0.05997012,0.05354967,0.06483132
0.1533157,0.05470373,0.03225737,0.07711094,0.02655119,0.08035988,0.05002879,0.03376812,0.03338292,0.04279943,0.03635201,0.06735568,0.05878118,0.07537705,0.06126665,0.04888025,0.06894201,0.03529115,0.03532625,0.06376177,0.04116866,0.07172927,0.05520596,0.05596352,0.05186204,0.06665576,0.04950607,0.04594963,0.04264684,0.05141144
0.1307264,0.03738423,0.01899691,0.06772686,0.01419336,0.06284025,0.03438106,0.02151796,0.02044539,0.02573599,0.02169573,0.05095647,0.04138939,0.05860329,0.04934951,0.03484866,0.05904174,0.0236675,0.02037787,0.04297717,0.02614096,0.05500797,0.04323048,0.0392362,0.0348661,0.04802399,0.03474432,0.03752999,0.0344348,0.04360566
0.1137786,0.01630556,0.005595473,0.05727915,0.002944503,0.04478969,0.01753448,0.006185574,0.006303093,0.008351144,0.007367728,0.03207186,0.02054576,0.03704884,0.03434054,0.02004635,0.05477359,0.01077174,0.007382759,0.0214339,0.008893966,0.03150819,0.03054017,0.0199204,0.0141356,0.02795051,0.01681126,0.02994639,0.02654673,0.03534876
0.09830094,0.003521875,0,0.05536232,0,0.02977684,0.004904841,3.31E-08,8.22E-08,0,0,0.01921912,0.00656967,0.02265362,0.02764903,0.009063962,0.05037485,0.002309259,0.000677139,0.005393836,0,0.01611676,0.0249065,0.006081667,0.002883457,0.01358264,0.007245084,0.0244018,0.0214855,0.03026675
0.0884754,0,0.004286938,0.06253085,0.005262185,0.0216364,5.29E-08,0.005239807,0.001179949,0.001730755,0.003702741,0.01139074,2.97E-08,0.0138124,0.02764903,0.003384798,0.04937918,0,0,6.51E-08,0.000792853,0.007849953,0.02674367,8.19E-08,0,0.00639674,3.48E-08,0.02118082,0.01914502,0.0302015
0.08682517,0.004901448,0.0171895,0.0778687,0.01616703,0.01837004,0.004787063,0.0183689,0.008185445,0.01174803,0.01520747,0.009950581,0.002411023,0.01087354,0.0358769,0.003073411,0.05507226,0.002425911,0.007036716,0.003107163,0.008903169,0.007570112,0.03702712,0.002951182,0.005323852,0.007275623,0.001439044,0.02432028,0.02367037,0.03635816
