Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Std_13,Std_14,Std_15,Std_16,Std_17,Std_18,Std_19,Std_20,Std_21,Std_22,Std_23,Std_24,Std_25,Std_26,Std_27,Std_28,Std_29,Std_30
0.1829487,0.1731727,0.1531144,0.1616049,0.1933587,0.1576867,0.1510546,0.1559771,0.1569543,0.1745122,0.1534132,0.1516708,0.1677827,0.1692811,0.1433522,0.126955,0.08640516,0.1396086,0.1446167,0.1842679,0.1606577,0.1705249,0.1719085,0.1543746,0.1681883,0.1636081,0.1873526,0.08312894,0.09192359,0.1074283
0.1828525,0.1730881,0.1530574,0.1615212,0.1933538,0.1576012,0.1509769,0.1558779,0.1569054,0.1744476,0.153357,0.1515949,0.1676943,0.1692034,0.1432858,0.126871,0.08633756,0.1395306,0.1445628,0.1841918,0.1605531,0.17046,0.1718092,0.1543274,0.1681063,0.1635365,0.1872973,0.08308467,0.09187366,0.1073612
0.1825795,0.1728377,0.1528929,0.1612774,0.1933313,0.1573577,0.1507555,0.1555926,0.1567745,0.1742626,0.1531972,0.1513792,0.1674398,0.1689797,0.143093,0.1266275,0.08613715,0.1393047,0.1444052,0.1839666,0.1602523,0.1702733,0.1715205,0.154192,0.1678669,0.1633311,0.1871407,0.08295884,0.0917311,0.1071727
0.1821449,0.1724273,0.1526257,0.1608797,0.1932802,0.1569692,0.1504029,0.1551346,0.1565788,0.1739671,0.1529424,0.1510347,0.167031,0.1686198,0.1427821,0.1262345,0.08580903,0.1389392,0.144149,0.1835951,0.1597692,0.1699732,0.1710534,0.1539765,0.1674783,0.1630009,0.1868931,0.08275861,0.09150358,0.1068765
0.1815633,0.1718637,0.1522583,0.1603317,0.193187,0.1564475,0.1499306,0.1545175,0.1563334,0.173571,0.1525998,0.1505717,0.166479,0.1681322,0.1423612,0.1257031,0.08536087,0.1384427,0.1437996,0.18308,0.1591176,0.1695678,0.1704208,0.1536901,0.1669493,0.1625533,0.1865651,0.08249091,0.09119862,0.1064857
0.1808479,0.1711546,0.1517907,0.1596352,0.1930361,0.1558025,0.1493482,0.1537546,0.1560499,0.1730818,0.1521742,0.1499982,0.1657931,0.1675241,0.1418376,0.1250445,0.08480229,0.1378234,0.1433621,0.1824246,0.1583106,0.1690648,0.1696365,0.1533425,0.166289,0.1619939,0.1861671,0.08216202,0.09082291,0.1060124
0.1800114,0.1703084,0.1512215,0.1587912,0.1928105,0.1550426,0.1486626,0.1528587,0.1557347,0.1725051,0.1516676,0.1493207,0.1649809,0.1668008,0.1412169,0.1242713,0.0841442,0.1370884,0.1428411,0.1816323,0.1573602,0.1684709,0.1687153,0.1529429,0.1655066,0.1613265,0.1857094,0.08177752,0.09038214,0.1054664
0.1790668,0.1693342,0.1505492,0.1578015,0.1924941,0.1541756,0.1478802,0.151843,0.1553911,0.1718452,0.1510808,0.148545,0.1640492,0.1659669,0.1405037,0.1233967,0.08339852,0.1362453,0.1422412,0.180708,0.1562781,0.1677924,0.1676729,0.1525004,0.1646114,0.160554,0.1852031,0.08134266,0.08988124,0.1048558
0.1780283,0.1682433,0.1497741,0.1566714,0.1920729,0.1532104,0.1470078,0.1507222,0.15502,0.1711068,0.1504148,0.147677,0.1630053,0.1650276,0.1397032,0.1224356,0.08257815,0.1353019,0.1415684,0.1796575,0.1550765,0.1670353,0.166526,0.1520245,0.1636142,0.1596798,0.1846601,0.08086307,0.08932504,0.1041877
0.1769119,0.1670481,0.1489001,0.1554103,0.1915365,0.152158,0.1460548,0.1495128,0.1546231,0.1702966,0.1496727,0.1467242,0.1618585,0.1639898,0.1388219,0.1214043,0.08169705,0.1342677,0.1408307,0.1784883,0.1537696,0.1662061,0.1652919,0.1515247,0.1625266,0.1587091,0.1840929,0.08034527,0.08871901,0.1034694
