Wavenumber,Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Std_13,Std_14,Std_15,Std_16,Std_17,Std_18,Std_19,Std_20,Std_21,Std_22,Std_23,Std_24,Std_25,Std_26,Std_27,Std_28,Std_29,Std_30
800,0.014235372,0,0,0,0,0.033766957,0,0,0,0,0,0.020456866,0,0.038144653,0,0.003246406,0,0.003152209,0,0.035527387,0,0.032880059,0.001147613,0.000940461,0.003980865,0.008337772,0.013161939,0,0,0.002611902
804,0.000397222,0,0,0,0,0.019966796,0,0,0,0,0,0.00844746,0,0.023133237,0,0.003794567,0,0.003849822,0,0.021472701,0,0.019347134,0.003556477,0.004025772,0.004377088,0.001400247,0.002566582,0,0,0
808,0.005478123,0,0,0,0,0.009508543,0,0,0,0,0,0.000864649,0,0.009347564,0,0,0,0,0,0.010522494,0,0.009077584,0.004508498,0.004665873,0,0.003246077,0.005029232,0,0,0
812,0.005595025,0,0,0,0,0.001488328,0,0,0,0,0,0.003379695,0,0.000720737,0,0,0,0,0,0.002032899,0,0.001336981,0,0,0,0.003680495,0.005666668,0,0,0
816,0,0,0,0,0,0.00370493,0,0,0,0,0,0.00403129,0,0.003929741,0,0,0,0,0,0.003462607,0,0.003345142,0,0,0,0,0,0,0,0
820,0,0,0,0,0,0.004236558,0,0,0,0,0,0,0,0.004402021,0,0,0,0,0,0.004859189,0,0.004191134,0,0,0,0,0,0,0,0
824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
