wavenumber,Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Std_13,Std_14,Std_15,Std_16,Std_17,Std_18,Std_19,Std_20,Std_21,Std_22,Std_23,Std_24,Std_25,Std_26,Std_27,Std_28,Std_29,Std_30
602,0.08546,0.08127,0.1009,0.12583,0.04422,0.08112,0.135,0.10371,0.20643,0.12992,0.0982,0.10411,0.05747,0.08173,0.09389,0.06814,0.12993,0.04115,0.06829,0.10413,0.0944,0.1126,0.07262,0.14221,0.06327,0.1193,0.06179,0.16102,0.04972,0.09821
609,0.08462,0.07913,0.09727,0.12279,0.04329,0.07889,0.13108,0.10082,0.20223,0.12714,0.0961,0.10164,0.05593,0.07984,0.09199,0.06588,0.12574,0.03963,0.06587,0.10124,0.09171,0.11041,0.07122,0.13914,0.06172,0.11663,0.05939,0.15686,0.04805,0.09526
617,0.08274,0.0774,0.0934,0.11845,0.04209,0.07544,0.1262,0.09816,0.19711,0.12352,0.09352,0.09877,0.05373,0.07719,0.08919,0.06468,0.12059,0.03824,0.06425,0.0988,0.08944,0.10753,0.06964,0.13417,0.06009,0.11413,0.05841,0.15307,0.04651,0.09266
625,0.08064,0.07514,0.08981,0.11422,0.04085,0.07247,0.12149,0.09501,0.19206,0.11951,0.0904,0.09565,0.05219,0.07441,0.08684,0.06312,0.11616,0.03706,0.06259,0.09616,0.0866,0.10312,0.06735,0.12936,0.05759,0.1107,0.05658,0.14869,0.04511,0.08947
633,0.07829,0.07259,0.08648,0.10996,0.03876,0.06939,0.11613,0.09223,0.18467,0.11473,0.08715,0.09248,0.0496,0.07171,0.0842,0.06115,0.11083,0.0356,0.05934,0.09235,0.08358,0.09901,0.06511,0.12435,0.05516,0.10691,0.05443,0.14282,0.04298,0.08528
640,0.07497,0.06918,0.08223,0.10447,0.03696,0.06606,0.11058,0.08815,0.17507,0.10775,0.08346,0.08866,0.04691,0.06808,0.0797,0.05835,0.10513,0.03403,0.05674,0.08838,0.07899,0.09391,0.06222,0.11907,0.0524,0.10183,0.05137,0.13555,0.0408,0.08057
648,0.07158,0.06547,0.07941,0.09927,0.03466,0.06313,0.10477,0.08314,0.16616,0.10024,0.07955,0.08478,0.04423,0.06486,0.07641,0.05515,0.10138,0.03232,0.05369,0.08454,0.07508,0.08882,0.05982,0.11347,0.0486,0.09752,0.04853,0.12893,0.03836,0.07596
656,0.06816,0.06293,0.076,0.09465,0.0327,0.05986,0.09984,0.07922,0.1591,0.09572,0.07589,0.08115,0.04209,0.06182,0.07244,0.05319,0.09597,0.03069,0.05074,0.08125,0.07207,0.08505,0.05691,0.10822,0.0466,0.09336,0.04598,0.12248,0.03616,0.07209
663,0.06506,0.06048,0.0722,0.09072,0.03141,0.05555,0.09529,0.07638,0.15361,0.09224,0.0727,0.07763,0.03991,0.05963,0.06967,0.05141,0.09008,0.02936,0.04902,0.07777,0.06894,0.08173,0.05462,0.10334,0.04428,0.08992,0.04432,0.11762,0.0347,0.06881
671,0.06284,0.05807,0.06711,0.0867,0.0299,0.05178,0.09033,0.07252,0.14767,0.08748,0.06902,0.07387,0.03784,0.05714,0.06708,0.04898,0.08352,0.02704,0.04672,0.07421,0.06596,0.07792,0.05211,0.09881,0.04236,0.08595,0.04202,0.11269,0.03279,0.06525
