wavenumber,Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Std_13,Std_14,Std_15,Std_16,Std_17,Std_18,Std_19,Std_20,Std_21,Std_22,Std_23,Std_24,Std_25,Std_26,Std_27,Std_28,Std_29,Std_30
608,0.601601129,0.500769512,0.406463852,0.412162475,0.851040209,0.593006,0.548602699,0.585501701,0.812033073,0.652248395,0.574407222,0.580630751,0.519084152,0.502075188,0.471300316,0.524642271,0.381919474,0.505477541,0.476712755,0.862255,0.668056714,0.629756502,0.631141171,0.497866653,0.450224015,0.403726932,0.46889486,0.494348214,0.495315966,0.434710951
612,0.591535123,0.489508946,0.395582718,0.398181107,0.836075105,0.571666033,0.542382161,0.573380553,0.800266471,0.639669829,0.563332671,0.569496257,0.504900792,0.484299082,0.460056758,0.516056961,0.37164359,0.491718325,0.46469771,0.851080171,0.656066516,0.612037233,0.622933918,0.484130992,0.435153165,0.393502472,0.460057908,0.483898462,0.479140617,0.422760162
616,0.580900981,0.478604135,0.385770146,0.385389795,0.818150468,0.553918243,0.531066719,0.561565471,0.786150796,0.626410525,0.551506898,0.558003485,0.49014426,0.467162339,0.448428675,0.507073196,0.36093687,0.479028479,0.451665638,0.83673225,0.641600401,0.596128908,0.612415197,0.471000546,0.420998214,0.383302136,0.44957542,0.472778333,0.463373488,0.410332706
620,0.569659872,0.467820378,0.376784805,0.37347318,0.797392572,0.538671375,0.515580823,0.549775986,0.769746379,0.612261359,0.539015537,0.546142989,0.474862005,0.450518418,0.436432777,0.497542174,0.349931958,0.466924391,0.437817411,0.819644401,0.624912698,0.580735892,0.60000489,0.458336999,0.407444766,0.37305948,0.437673602,0.461050752,0.447902433,0.397467305
624,0.557772968,0.456922975,0.368385366,0.3621159,0.773927688,0.524834178,0.496848921,0.53773163,0.751113553,0.597013204,0.525944221,0.533905323,0.459101477,0.434220778,0.424085776,0.487315093,0.338761496,0.454922451,0.423353897,0.800249792,0.606257738,0.564562552,0.586122881,0.446002035,0.394178428,0.362708056,0.424578658,0.448778642,0.432615307,0.384202684
628,0.545201439,0.445677224,0.3603305,0.351002596,0.747882089,0.511315397,0.475795462,0.525151934,0.730312648,0.580456935,0.512378585,0.521281041,0.442910126,0.418122876,0.411404381,0.476243151,0.327558127,0.442539047,0.408475966,0.77898159,0.585889848,0.54631325,0.571189054,0.43385734,0.380884806,0.35218142,0.410516794,0.43602493,0.417399966,0.370577566
632,0.531732102,0.432083958,0.352524305,0.339359736,0.718718952,0.495399556,0.453803257,0.511020107,0.70661179,0.561176167,0.498332635,0.508136833,0.426266561,0.401736903,0.398449652,0.463359688,0.316955375,0.428092265,0.393609456,0.756188281,0.563392998,0.520010743,0.555918599,0.421574303,0.366242889,0.341171935,0.395575057,0.422806186,0.401992677,0.356354683
636,0.51749242,0.419099471,0.344353502,0.327440639,0.686928537,0.477294077,0.43119085,0.495888868,0.680790365,0.540289001,0.483954699,0.494554654,0.40909272,0.385415546,0.385206864,0.449417364,0.306286309,0.412548574,0.378563732,0.73222099,0.539801916,0.490286171,0.540476932,0.409248925,0.351154625,0.3299719,0.380149877,0.409189091,0.386402782,0.341941396
640,0.502513303,0.406788696,0.335673368,0.314994592,0.653110224,0.457956616,0.407431298,0.47981365,0.653431803,0.518573587,0.469394668,0.480656507,0.391545166,0.368805833,0.371232199,0.435071906,0.295680745,0.396103508,0.363083164,0.708170492,0.516435924,0.459429434,0.525061131,0.396730237,0.336269041,0.318527623,0.36449324,0.395069204,0.370212185,0.327560351
644,0.487017108,0.395158429,0.326008466,0.302260219,0.619024693,0.4375311,0.38719554,0.463254599,0.626386356,0.497134967,0.454748359,0.466676401,0.374758371,0.352383243,0.357084784,0.420726014,0.285166443,0.379409436,0.3480131,0.684608136,0.493722693,0.428674602,0.509401115,0.384194982,0.321505023,0.306771241,0.348960543,0.381054365,0.354196834,0.313331437
